Shimmer_B640_Timestamp_FormattedUnix_CAL,Shimmer_B640_PPG_A13_CAL
yyyy/mm/dd hh:mm:ss.000,mV
51:16.3,1221.245421
51:16.3,1216.117216
51:16.3,1210.989011
51:16.3,1204.395604
51:16.3,1194.871795
51:16.3,1186.813187
51:16.3,1178.021978
51:16.3,1172.161172
51:16.3,1164.102564
51:16.3,1156.776557
51:16.3,1150.915751
51:16.3,1144.322344
51:16.3,1141.391941
51:16.4,1142.124542
51:16.4,1145.054945
51:16.4,1147.252747
51:16.4,1149.450549
51:16.4,1150.915751
51:16.4,1150.915751
51:16.4,1153.846154
51:16.4,1154.578755
51:16.4,1157.509158
51:16.4,1163.369963
51:16.4,1172.161172
51:16.4,1180.952381
51:16.4,1189.74359
51:16.5,1194.871795
51:16.5,1197.069597
51:16.5,1197.802198
51:16.5,1197.802198
51:16.5,1196.336996
51:16.5,1190.47619
51:16.5,1184.615385
51:16.5,1180.21978
51:16.5,1175.091575
51:16.5,1169.230769
51:16.5,1164.102564
51:16.5,1158.241758
51:16.5,1152.380952
51:16.6,1146.520147
51:16.6,1142.124542
51:16.6,1141.391941
51:16.6,1141.391941
51:16.6,1142.124542
51:16.6,1143.589744
51:16.6,1146.520147
51:16.6,1150.915751
51:16.6,1158.974359
51:16.6,1169.230769
51:16.6,1185.347985
51:16.6,1209.52381
51:16.6,1241.025641
51:16.7,1280.586081
51:16.7,1326.739927
51:16.7,1378.754579
51:16.7,1435.897436
51:16.7,1493.772894
51:16.7,1549.450549
51:16.7,1603.663004
51:16.7,1651.282051
51:16.7,1692.307692
51:16.7,1726.739927
51:16.7,1751.648352
51:16.7,1767.032967
51:16.8,1775.091575
51:16.8,1775.091575
51:16.8,1771.428571
51:16.8,1764.835165
51:16.8,1759.70696
51:16.8,1752.380952
51:16.8,1741.391941
51:16.8,1726.007326
51:16.8,1705.494505
51:16.8,1680.586081
51:16.8,1651.282051
51:16.8,1622.710623
51:16.8,1593.406593
51:16.9,1564.835165
51:16.9,1542.857143
51:16.9,1522.344322
51:16.9,1505.494505
51:16.9,1499.6337
51:16.9,1498.901099
51:16.9,1503.296703
51:16.9,1510.622711
51:16.9,1517.948718
51:16.9,1522.344322
51:16.9,1526.007326
51:16.9,1528.937729
51:16.9,1531.135531
51:17.0,1529.67033
51:17.0,1522.344322
51:17.0,1509.89011
51:17.0,1495.970696
51:17.0,1480.586081
51:17.0,1466.666667
51:17.0,1454.945055
51:17.0,1442.490842
51:17.0,1427.106227
51:17.0,1410.989011
51:17.0,1389.74359
51:17.0,1369.230769
51:17.0,1349.450549
51:17.1,1329.67033
51:17.1,1310.622711
51:17.1,1295.970696
51:17.1,1280.586081
51:17.1,1268.131868
51:17.1,1258.608059
51:17.1,1248.351648
51:17.1,1240.29304
51:17.1,1235.164835
51:17.1,1230.769231
51:17.1,1224.908425
51:17.1,1219.78022
51:17.1,1213.186813
51:17.2,1207.326007
51:17.2,1204.395604
51:17.2,1201.465201
51:17.2,1199.267399
51:17.2,1198.534799
51:17.2,1197.069597
51:17.2,1195.604396
51:17.2,1194.139194
51:17.2,1193.406593
51:17.2,1196.336996
51:17.2,1197.069597
51:17.2,1199.267399
51:17.3,1201.465201
51:17.3,1202.197802
51:17.3,1201.465201
51:17.3,1200.732601
51:17.3,1200
51:17.3,1195.604396
51:17.3,1194.139194
51:17.3,1191.941392
51:17.3,1189.74359
51:17.3,1188.278388
51:17.3,1186.080586
51:17.3,1183.882784
51:17.3,1181.684982
51:17.4,1179.487179
51:17.4,1178.021978
51:17.4,1178.754579
51:17.4,1179.487179
51:17.4,1180.952381
51:17.4,1181.684982
51:17.4,1183.150183
51:17.4,1188.278388
51:17.4,1192.673993
51:17.4,1195.604396
51:17.4,1200
51:17.4,1202.197802
51:17.4,1203.663004
51:17.5,1205.860806
51:17.5,1205.860806
51:17.5,1204.395604
51:17.5,1201.465201
51:17.5,1197.802198
51:17.5,1194.139194
51:17.5,1191.208791
51:17.5,1187.545788
51:17.5,1184.615385
51:17.5,1180.21978
51:17.5,1178.754579
51:17.5,1179.487179
51:17.5,1179.487179
51:17.6,1178.021978
51:17.6,1180.21978
51:17.6,1180.21978
51:17.6,1181.684982
51:17.6,1183.150183
51:17.6,1184.615385
51:17.6,1185.347985
51:17.6,1187.545788
51:17.6,1189.010989
51:17.6,1191.941392
51:17.6,1200
51:17.6,1211.721612
51:17.6,1229.304029
51:17.7,1256.410256
51:17.7,1288.644689
51:17.7,1324.542125
51:17.7,1363.369963
51:17.7,1405.128205
51:17.7,1446.886447
51:17.7,1487.912088
51:17.7,1523.809524
51:17.7,1557.509158
51:17.7,1585.347985
51:17.7,1608.791209
